ReportingCountry,Group,"Vaccine brand",Week,"Group population","Doses received","First dose","Second dose","Unknown dose","Refused first doses",NumberDosesAdministered,"First dose uptake (%)","Second dose uptake (%)","Unknown dose uptake (%)","Total doses","Uptake any dose (%)"
Finland,ALL,MOD,2021-15,4476235,,20766,1218,,,21984,0.5,0.0272103676415559,,,0.5
Finland,ALL,AZ,2021-15,4476235,14400,55277,68,,,55345,1.2,0.00151913382563695,,,1.2
Finland,ALL,UNK,2021-15,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,COM,2021-16,4476235,150930,140830,27227,,,168057,3.1,0.60825671574437,,,3.8
Finland,ALL,MOD,2021-16,4476235,38400,12083,2362,,,14445,0.3,0.0527675602375657,,,0.3
Finland,ALL,AZ,2021-16,4476235,40800,36708,72,,,36780,0.8,0.00160849463890971,,,0.8
Finland,ALL,UNK,2021-16,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,COM,2021-17,4476235,211770,160045,15702,,,175747,3.6,0.350785872502226,,,3.9
Finland,ALL,MOD,2021-17,4476235,46800,18274,1191,,,19465,0.4,0.0266071821519648,,,0.4
Finland,ALL,AZ,2021-17,4476235,199200,17255,211,,,17466,0.4,0.00471378290013817,,,0.4
Finland,ALL,UNK,2021-17,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,COM,2021-18,4476235,203580,178029,33762,,,211791,4,0.754249944428744,,,4.7
Finland,ALL,MOD,2021-18,4476235,36000,21779,2269,,,24048,0.5,0.050689921328974,,,0.5
Finland,ALL,AZ,2021-18,4476235,,3788,2023,,,5811,0.1,0.0451942313126992,,,0.1
Finland,ALL,UNK,2021-18,4476235,,0,0,,,0,0,0,,,0
Finland,ALL,COM,2021-19,4476235,,22918,7496,,,30414,0.5,0.167462164073155,,,0.7
Finland,ALL,MOD,2021-19,4476235,,3338,1068,,,4406,0.1,0.0238593371438273,,,0.1
Finland,ALL,AZ,2021-19,4476235,,406,1075,,,1481,0,0.0240157185670547,,,0
